100
EPI_ISL_402125	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EPI_ISL_521809	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EPI_ISL_530237	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EPI_ISL_678363	1	1	1	0	0.8709677419354838745491065310	1	1	0.7407407407407407551325206896	0.75	0.7307692307692307820410348995	0.9032258064516129059118298983	0.7307692307692307820410348995	0.7586206896551724032651264906	0.8800000000000000044408920985	0.7307692307692307820410348995	0.7666666666666666629659232512	0.90625	0.875	0.9047619047619047671915382125	0.7407407407407407551325206896	0.8800000000000000044408920985	0.9354838709677419372745532655	0.7307692307692307820410348995	0.75	0.90625	0.8846153846153846089794825502	0.8846153846153846089794825502	0.75	0.7666666666666666629659232512	0.75	0.7666666666666666629659232512	0.8800000000000000044408920985	0.9047619047619047671915382125	0.8999999999999999944488848769	0.7307692307692307820410348995	0.875	0.875	0.7307692307692307820410348995	0.7407407407407407551325206896	0.7307692307692307820410348995	0.7407407407407407551325206896	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EPI_ISL_593164	1	1	1	0.8709677419354838745491065310	0	1	1	0.7307692307692307820410348995	0.7407407407407407551325206896	0.7199999999999999733546474090	0.4285714285714286031492292750	0.7199999999999999733546474090	0.75	0.6500000000000000222044604925	0.7199999999999999733546474090	0.7586206896551724032651264906	0.6923076923076922906119534673	0.6315789473684210730830557168	0.7777777777777777901135891625	0.7307692307692307820410348995	0.6500000000000000222044604925	0.8571428571428571507873073188	0.7199999999999999733546474090	0.7407407407407407551325206896	0.4545454545454545858262918046	0.6666666666666666851703837438	0.6666666666666666851703837438	0.7407407407407407551325206896	0.7586206896551724032651264906	0.7407407407407407551325206896	0.7586206896551724032651264906	0.6500000000000000222044604925	0.7777777777777777901135891625	0.8571428571428571507873073188	0.7199999999999999733546474090	0.6315789473684210730830557168	0.6315789473684210730830557168	0.7199999999999999733546474090	0.7307692307692307820410348995	0.7199999999999999733546474090	0.7307692307692307820410348995	1	1	1	1	1	1	1	0.8148148148148148250946576354	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.96875	1	1	0.9696969696969696961286189207	1	1	1	0.9677419354838709686372766328	1	0.96875	0.9705882352941176474669937591	0.9696969696969696961286189207	0.96875	0.9705882352941176474669937591	0.9696969696969696961286189207	0.9696969696969696961286189207	0.9696969696969696961286189207	0.9696969696969696961286189207	0.96875	0.9696969696969696961286189207	0.96875	0.9677419354838709686372766328	0.9677419354838709686372766328	0.96875	1	0.96875	0.9696969696969696961286189207	0.96875	0.9677419354838709686372766328	0.9677419354838709686372766328
EPI_ISL_521525	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EPI_ISL_639749	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EPI_ISL_663765	1	1	1	0.7407407407407407551325206896	0.7307692307692307820410348995	1	1	0	0.1666666666666666296592325125	0.0625	0.5454545454545454696848594267	0.0625	0.2105263157894736725239681618	0.375	0.0625	0.25	0.5	0.4375	0.6875	0.1176470588235294378876005794	0.4705882352941176405280998551	0.8076923076923076816324709171	0.0625	0.1666666666666666296592325125	0.625	0.5	0.5	0.1666666666666666296592325125	0.25	0.1666666666666666296592325125	0.25	0.375	0.6875	0.7600000000000000088817841970	0.0625	0.4375	0.4375	0.0625	0.1176470588235294378876005794	0.0625	0.1176470588235294378876005794	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EPI_ISL_779546	1	1	1	0.75	0.7407407407407407551325206896	1	1	0.1666666666666666296592325125	0	0.1176470588235294378876005794	0.5652173913043478381545980938	0.1176470588235294378876005794	0.05555555555555558022717832500	0.5	0.1176470588235294378876005794	0.1052631578947368362619840809	0.5833333333333333148296162562	0.4705882352941176405280998551	0.7058823529411764607921497827	0.1666666666666666296592325125	0.5	0.8148148148148148250946576354	0.1176470588235294378876005794	0	0.6400000000000000133226762955	0.5263157894736842368210716359	0.5263157894736842368210716359	0.2105263157894736725239681618	0.1052631578947368362619840809	0	0.1052631578947368362619840809	0.5	0.7058823529411764607921497827	0.7692307692307692179589651005	0.1176470588235294378876005794	0.4705882352941176405280998551	0.4705882352941176405280998551	0.1176470588235294378876005794	0.1666666666666666296592325125	0.1176470588235294378876005794	0.1666666666666666296592325125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EPI_ISL_519393	1	1	1	0.7307692307692307820410348995	0.7199999999999999733546474090	1	1	0.0625	0.1176470588235294378876005794	0	0.5238095238095238359576910625	0	0.1666666666666666296592325125	0.4375	0	0.2105263157894736725239681618	0.5454545454545454696848594267	0.4000000000000000222044604925	0.6666666666666666851703837438	0.0625	0.4375	0.7999999999999999888977697537	0	0.1176470588235294378876005794	0.6086956521739130265835626687	0.4705882352941176405280998551	0.4705882352941176405280998551	0.1176470588235294378876005794	0.2105263157894736725239681618	0.1176470588235294378876005794	0.2105263157894736725239681618	0.4375	0.6666666666666666851703837438	0.75	0	0.4000000000000000222044604925	0.4000000000000000222044604925	0	0.0625	0	0.0625	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
